MATNR;MAKTX
RA010001;SAP OC AQUA KEEP HP650
RA010024;SAP NOC TAISAP BC 388SDA
RA010023;SAP NOC HySorb N 7059 BASF
RA010022;SAP NOC HYSORB B 6600 PP wood pal
RA010016;SAP NOC HYSORB B 6600 PP BASF
RA010011;SAP LG GS-802NY/GS-401
RSA01026;SAP LG GS-3100H
RSA01024;SAP CR-650
RSA01025;SAP CR-630
RP075036;Round tape for swabs 24 mm
RSA02033;PULP SHEET T ECF 20% PSSW1 600x880mm
RSA02032;PULP SHEET T ECF 20% HB-ST
RSA02031;PULP SHEET T ECF 20% 600x800mm HWOOD
RSA02030;PULP SHEET T ECF 20% 600x800mm
RP090008;PROPYLENE BAGS
RF030097;POUCH PE SIL NB 225/18my P3265 SIEMPRE
RF040057;POUCH PE SIL NB 215/22g WHI
RSF04153;POUCH PE SIL 300/25g WHI Asmkor
RSF04162;POUCH PE SIL 300/24g WHI Korozo
RF040046;POUCH PE SIL 300/20g WHI Plastik
RSF04149;POUCH PE SIL 255/25g WHI China
RSF04152;POUCH PE SIL 255/25g WHI Asmkor
RSF04161;POUCH PE SIL 255/24g WHI Korozo
RSF04156;POUCH PE SIL 255/24G WHI SHENYANG
RSF04166;POUCH PE SIL 255/22g PINK
RSF04164;POUCH PE SIL 255/22g GRN
RSF04159;POUCH PE SIL 215/28G WHI SHENYANG
RSF04150;POUCH PE SIL 215/25g WHI China
RSF04151;POUCH PE SIL 215/25g WHI Asmkor
RSF04158;POUCH PE SIL 215/25G WHI SHENYANG
RSF04160;POUCH PE SIL 215/24g WHI Korozo
RSF04157;POUCH PE SIL 215/24G WHI SHENYANG
RSF04165;POUCH PE SIL 215/22g PINK
RSF04163;POUCH PE SIL 215/22g GRN
RSF03045;POUCH PE NB 300/24g 25µ WHI RA PIN
RF030160;POUCH PE NB 25µ 300/24G WHI UP
RF030161;POUCH PE NB 25µ 300/24G PUR UP
RF030156;POUCH PE NB 25µ 255/24G WHI UP
RF030158;POUCH PE NB 25µ 255/24G RED UP
RF030155;POUCH PE NB 25µ 255/24G PIN UP
RF030157;POUCH PE NB 25µ 255/24G GRE UP
RF030159;POUCH PE NB 25µ 215/24G YEL UP
RF030153;POUCH PE NB 25µ 215/24G WHI UP
RSF03025;POUCH PE NB 25µ 215/24G PIN UP
RSF03024;POUCH PE NB 25µ 215/24G GRE UP
RF030154;POUCH PE NB 25µ 215/24G GRE UP
RF030169;POUCH PE NB 25µ 215/23g PIN UP
RSF03044;POUCH PE NB 255/24g 25µ WHI RA PIN
RF030248;POUCH PE NB 255/19g WHI UP POLIGOF SPA
RSF03030;POUCH PE NB 22µ 275/21G GRE UP
RF030163;POUCH PE NB 22µ 255/21G UP
RSF03027;POUCH PE NB 22µ 230/21G GRE UP
RSF03029;POUCH PE NB 22µ 225/21G GRE UP
RF030162;POUCH PE NB 22µ 215/21G GRE UP
RSF03043;POUCH PE NB 215/24g 25µ WHI RA PIN
RSF03054;POUCH PE NB 215/20g WHI UP MONDI GRONAU
RF030247;POUCH PE NB 215/19g WHI UP POLIGOF SPA
RSF03053;POUCH PE NB 215/18g WHI UP MONDI GRONAU
RSF03047;POUCH PE NB 215/16.5g WHI UP MONDI
RF030164;POUCH PE NB 20µ 255/19G WHI UP
RF030166;POUCH PE NB 20µ 255/19G WHI UP
RSF03026;POUCH PE NB 20µ 225/19G UP
RF030165;POUCH PE NB 20µ 215/19G WHI UP
RF030168;POUCH PE NB 20µ 215/19G WHI UP
RSF03059;POUCH PE 255/20g STEP-1 WHI
RF030255;POUCH PE 225/20g WHITE PLASTIK SPA
RSF03058;POUCH PE 215/20g STEP-1 WHI
RP090005;POLYPROPYLENE TRIMMING GASKETS NONWOVEN
RP090024;POLYPROPYLENE TRIMMING (THIN TRIMMINGS O
RP090016;POLYPROPYLENE CONTAINER WASTE
RP090019;POLYETHYLENE TRIMMING (PACKAGING SILICO
RP090011;POLYETHYLENE FILM
RP090013;PLASTIC PALLET
RP090018;PLASTIC CORE WASTE
RO020022;PERFUME SABILA CFB 33548 1000ML
RO020026;PERFUME ORCHID CFB 97381 1000ML
RO020035;PERFUME OLIVE FLOWER 71034-A
RO020031;PERFUME MEBA L26 120026 1000ML COTTON
RO020040;PERFUME KEMA Cleopatra baths L26 KD65955
RO020029;PERFUME KEMA AQUA LIGT 120342 1000ML
RO020034;PERFUME GREEN OLIVE SALAD EAG47031 1000M
RO020028;PERFUME GREEN LAND CFB 56342 1000ML
RO020023;PERFUME FRESH STRAWBERRY 1000ML
RO020021;PERFUME FLOWER LIGHT 1000ML
RO020025;PERFUME FIELD CHAMMER CFB 24217 1000ML
RO020027;PERFUME ELECTRA CFB 11610 1000ML
RO020032;PERFUME EAU L26 8865/C 1000ML WATER
RO020030;PERFUME EAD38095/00 SATIN SKIN MOD 1000M
RO020033;PERFUME CHAMOMILE EXTRACK 21006 1000ML
RO020039;PERFUME CHAMOMILE EXTRACK
RO020024;PERFUME BERRIES 1000ML
RF030167;PE FILM PUPI COMFORT SOFT 8
RP100010;PE FILM PUPI COMFORT SOFT 8
RP100011;PE FILM PUPI COMFORT MAXI SOFT 8
RP100012;PE FILM LA-FRESH COMFORT SOFT 10
RP100002;PE FILM KAZHDY DEN COMFORT 10PCS
RF030145;PE FILM KAZHDY DEN COMFORT 10PCS
RP100016;PE FILM FOR BAGS VIVI SOFT NORMAl 10PCS
RP100017;PE FILM FOR BAGS VIVI NORMAL DRY 10PCS
RP100004;PE FILM FOR BAGS PUPI DRY 10PCS
RP100005;PE FILM FOR BAGS PUPI DRY 10PCS
RP100020;PE FILM FOR BAGS PUPI DRY 10PCS
RF030147;PE FILM FOR BAGS PUPI DRY 10PCS
RF030148;PE FILM FOR BAGS PUPI DRY 10PCS
